tm,branch_id,ta,wd,ws,rn_day,rn_hr1,hm,si,ta_chi,heat_demand
2021-01-01 01:00:00,A,-10.1,78.3,0.5,0.0,0.0,68.2,-99.0,-8.2,281
2021-01-01 02:00:00,A,-10.2,71.9,0.6,0.0,0.0,69.9,-99.0,-8.6,262
2021-01-01 03:00:00,A,-10.0,360.0,0.0,0.0,0.0,69.2,-99.0,-8.8,266
2021-01-01 04:00:00,A,-9.3,155.9,0.5,0.0,0.0,65.0,-99.0,-8.9,285
2021-01-01 05:00:00,A,-9.0,74.3,1.9,0.0,0.0,63.5,-99.0,-9.2,283
2021-01-01 06:00:00,A,-9.0,81.9,1.5,0.0,0.0,66.9,-99.0,-9.2,285
2021-01-01 07:00:00,A,-9.0,88.4,1.3,0.0,0.0,64.7,-99.0,-8.4,285
2021-01-01 08:00:00,A,-8.6,88.9,1.2,0.0,0.0,63.8,0.0,-8.4,284
2021-01-01 09:00:00,A,-7.4,71.6,1.3,0.0,0.0,61.2,0.27,-7.5,290
2021-01-01 10:00:00,A,-4.7,157.5,0.5,0.0,0.0,50.4,0.76,-5.3,285
2021-01-01 11:00:00,A,-2.6,184.2,0.9,0.0,0.0,41.5,1.4,-3.1,277
2021-01-01 12:00:00,A,-2.2,232.4,1.2,0.0,0.0,46.1,1.74,-1.6,269
2021-01-01 13:00:00,A,-0.6,70.9,1.2,0.0,0.0,49.2,1.61,-0.6,265
2021-01-01 14:00:00,A,0.5,163.0,1.6,0.0,0.0,48.4,1.61,0.5,253
2021-01-01 15:00:00,A,-0.3,224.7,1.2,0.0,0.0,51.0,1.43,-1.1,234
2021-01-01 16:00:00,A,-0.8,314.9,2.4,0.0,0.0,55.0,0.42,-2.9,236
2021-01-01 17:00:00,A,-1.5,139.2,1.6,0.0,0.0,60.3,0.28,-0.4,254
2021-01-01 18:00:00,A,-1.7,294.6,1.9,0.0,0.0,64.8,0.02,-3.3,278
2021-01-01 19:00:00,A,-1.7,287.8,1.5,0.0,0.0,65.8,-99.0,-3.3,303
2021-01-01 20:00:00,A,-1.8,292.0,1.1,0.0,0.0,68.7,-99.0,-3.5,310
2021-01-01 21:00:00,A,-1.8,291.2,1.5,0.0,0.0,60.1,-99.0,-3.8,310
2021-01-01 22:00:00,A,-2.2,306.2,2.6,0.0,0.0,56.8,-99.0,-4.9,306
