tm,branch_id,ta,wd,ws,rn_day,rn_hr1,hm,si,ta_chi,heat_demand
2021010101,A,-10.1,78.3,0.5,0.0,0.0,68.2,-99.0,-8.2,281
2021010102,A,-10.2,71.9,0.6,0.0,0.0,69.9,-99.0,-8.6,262
2021010103,A,-10.0,360.0,0.0,0.0,0.0,69.2,-99.0,-8.8,266
2021010104,A,-9.3,155.9,0.5,0.0,0.0,65.0,-99.0,-8.9,285
2021010105,A,-9.0,74.3,1.9,0.0,0.0,63.5,-99.0,-9.2,283
2021010106,A,-9.0,81.9,1.5,0.0,0.0,66.9,-99.0,-9.2,285
2021010107,A,-9.0,88.4,1.3,0.0,0.0,64.7,-99.0,-8.4,285
2021010108,A,-8.6,88.9,1.2,0.0,0.0,63.8,0.0,-8.4,284
2021010109,A,-7.4,71.6,1.3,0.0,0.0,61.2,0.27,-7.5,290
2021010110,A,-4.7,157.5,0.5,0.0,0.0,50.4,0.76,-5.3,285
2021010111,A,-2.6,184.2,0.9,0.0,0.0,41.5,1.4,-3.1,277
2021010112,A,-2.2,232.4,1.2,0.0,0.0,46.1,1.74,-1.6,269
2021010113,A,-0.6,70.9,1.2,0.0,0.0,49.2,1.61,-0.6,265
2021010114,A,0.5,163.0,1.6,0.0,0.0,48.4,1.61,0.5,253
2021010115,A,-0.3,224.7,1.2,0.0,0.0,51.0,1.43,-1.1,234
2021010116,A,-0.8,314.9,2.4,0.0,0.0,55.0,0.42,-2.9,236
2021010117,A,-1.5,139.2,1.6,0.0,0.0,60.3,0.28,-0.4,254
2021010118,A,-1.7,294.6,1.9,0.0,0.0,64.8,0.02,-3.3,278
2021010119,A,-1.7,287.8,1.5,0.0,0.0,65.8,-99.0,-3.3,303
2021010120,A,-1.8,292.0,1.1,0.0,0.0,68.7,-99.0,-3.5,310
2021010121,A,-1.8,291.2,1.5,0.0,0.0,60.1,-99.0,-3.8,310
2021010122,A,-2.2,306.2,2.6,0.0,0.0,56.8,-99.0,-4.9,306
2021010123,A,-3.1,320.7,1.8,0.0,0.0,49.5,-99.0,-4.9,295
2021010200,A,-3.9,319.4,2.9,0.0,0.0,48.3,-99.0,-6.6,286
2021010201,A,-4.7,323.9,2.0,0.0,0.0,33.7,-99.0,-6.9,279
2021010202,A,-5.8,293.5,1.6,0.0,0.0,37.2,-99.0,-7.9,272
2021010203,A,-7.1,11.3,0.7,0.0,0.0,43.0,-99.0,-5.5,264
2021010204,A,-7.9,35.8,0.7,0.0,0.0,43.9,-99.0,-6.0,269
2021010205,A,-8.3,357.8,0.4,0.0,0.0,38.3,-99.0,-6.4,284
2021010206,A,-8.6,34.3,0.5,0.0,0.0,34.3,-99.0,-6.6,285
2021010207,A,-8.7,12.7,0.6,0.0,0.0,34.7,-99.0,-7.3,289
2021010208,A,-9.3,40.8,0.8,0.0,0.0,38.4,0.0,-7.7,292
2021010209,A,-8.3,306.7,0.7,0.0,0.0,34.0,0.3,-7.0,300
2021010210,A,-5.7,281.4,1.7,0.0,0.0,26.5,0.88,-8.2,289
2021010211,A,-4.2,260.4,1.2,0.0,0.0,24.4,1.46,-7.5,281
2021010212,A,-4.0,299.9,3.0,0.0,0.0,25.4,1.81,-6.8,275
2021010213,A,-3.1,318.0,3.3,0.0,0.0,24.4,1.95,-6.1,271
2021010214,A,-2.0,293.1,2.7,0.0,0.0,24.0,1.87,-5.6,262
2021010215,A,-1.9,315.2,3.6,0.0,0.0,26.2,1.57,-6.2,257
2021010216,A,-2.4,287.2,2.4,0.0,0.0,27.8,1.05,-5.2,242
2021010217,A,-3.0,288.5,3.5,0.0,0.0,31.1,0.41,-6.4,241
2021010218,A,-3.8,281.7,2.0,0.0,0.0,40.8,0.04,-6.5,272
2021010219,A,-4.1,289.7,2.5,0.0,0.0,45.4,-99.0,-7.4,310
2021010220,A,-4.9,317.8,2.2,0.0,0.0,37.9,-99.0,-7.7,325
2021010221,A,-5.8,306.2,0.9,0.0,0.0,37.4,-99.0,-7.8,328
2021010222,A,-5.7,316.2,2.1,0.0,0.0,35.9,-99.0,-9.1,335
2021010223,A,-6.4,317.8,2.2,0.0,0.0,39.4,-99.0,-9.6,312
2021010300,A,-7.2,318.1,3.2,0.0,0.0,39.3,-99.0,-11.3,290
2021010301,A,-7.9,298.8,1.6,0.0,0.0,45.1,-99.0,-10.8,281
2021010302,A,-8.0,295.7,1.8,0.0,0.0,47.7,-99.0,-11.1,275
2021010303,A,-8.5,289.9,1.8,0.0,0.0,47.7,-99.0,-11.1,269
2021010304,A,-9.2,295.4,1.0,0.0,0.0,49.5,-99.0,-8.0,280
2021010305,A,-9.7,359.0,0.6,0.0,0.0,52.6,-99.0,-8.2,281
2021010306,A,-9.5,1.6,0.7,0.0,0.0,50.9,-99.0,-8.4,278
2021010307,A,-9.5,356.5,0.7,0.0,0.0,54.1,-99.0,-8.4,282
