feature,best_lag,f_statistic,p_value,is_significant,significance_level,data_points
ta_diff_6h,2,5392.598674586331,0.0,True,***,332747
ta_diff_12h,1,2246.8505464810755,0.0,True,***,332633
si_lag_24h_mean,2,4463.380234473557,0.0,True,***,332405
hour_squared,1,1602.5918674911613,0.0,True,***,332861
si_lag_15h_mean,3,1623.897888075488,0.0,True,***,332576
hour_sin,1,2549.8427299953505,0.0,True,***,332861
ta,2,3200.2332357383825,0.0,True,***,332861
wind_chill_lag_15h_mean,3,764.9733930282245,0.0,True,***,332576
ta_lag_12h_mean,1,1710.225207017324,0.0,True,***,332633
wind_chill_lag_21h_mean,2,1614.5027223198774,0.0,True,***,332462
si_lag_21h_mean,1,4383.307186045224,0.0,True,***,332462
ws_lag_12h_mean,11,187.17539712520008,0.0,True,***,332633
hm_lag_18h_mean,5,517.6846595149249,0.0,True,***,332519
DCI,2,3727.7861947620236,0.0,True,***,332861
wind_chill_lag_3h_mean,2,1509.4805228035666,0.0,True,***,332804
hm_lag_9h_mean,3,736.4824882155754,0.0,True,***,332690
ta_chi_lag_21h_mean,2,2042.9978344221627,0.0,True,***,332462
ta_chi_lag_24h_mean,2,1327.9103252469308,0.0,True,***,332405
ta_lag_2h,3,537.2184441045841,0.0,True,***,332823
ta_squared,10,161.7886109831262,0.0,True,***,332861
wind_chill_lag_6h_mean,2,3661.272266695954,0.0,True,***,332747
hm_lag_24h_mean,2,1110.5361993389185,0.0,True,***,332405
ta_chi_lag_6h_mean,2,4220.577970332866,0.0,True,***,332747
ws_lag_6h_mean,2,907.8678420289476,0.0,True,***,332747
ta_lag_9h_mean,1,2414.8103431163413,0.0,True,***,332690
si_lag_3h_mean,1,10028.03695880935,0.0,True,***,332804
ta_lag_1h,2,1008.9916642096881,0.0,True,***,332842
ta_lag_3h,3,955.6860594716567,0.0,True,***,332804
HDD_18,2,5331.758855079739,0.0,True,***,332861
si_lag_18h_mean,2,2489.795195309548,0.0,True,***,332519
ta_chi_lag_9h_mean,1,2106.871934833725,0.0,True,***,332690
hm_lag_21h_mean,3,1211.0745151009003,0.0,True,***,332462
ta_chi_lag_18h_mean,2,1082.937591377625,0.0,True,***,332519
ta_chi,2,3790.1851580329,0.0,True,***,332861
hm,2,1672.9880217587342,0.0,True,***,332861
ta_lag_15h_mean,3,970.2951828856993,0.0,True,***,332576
ws_lag_24h_mean,3,505.9798340211765,0.0,True,***,332405
hour,1,3524.558282941194,0.0,True,***,332861
ta_humidity_interaction,2,1563.9119326207908,0.0,True,***,332861
wind_chill_lag_12h_mean,1,1558.4851716887272,0.0,True,***,332633
ws,3,570.9633074873458,0.0,True,***,332861
ta_lag_24h_mean,2,1111.3326550656425,0.0,True,***,332405
ws_lag_9h_mean,1,1787.0611740548147,0.0,True,***,332690
day_of_year_cos,11,165.01377291508973,0.0,True,***,332861
day_of_year_sin,10,304.7957799812225,0.0,True,***,332861
ws_lag_3h_mean,1,3087.976127610317,0.0,True,***,332804
si_lag_12h_mean,1,4230.883773859825,0.0,True,***,332633
wind_chill_lag_18h_mean,2,974.45523549075,0.0,True,***,332519
hm_ta_interaction,2,1563.9119326207908,0.0,True,***,332861
hm_lag_3h_mean,1,2449.2480595570128,0.0,True,***,332804
ta_chi_lag_15h_mean,3,920.0638315098452,0.0,True,***,332576
ta_cubed,8,202.75457532032593,0.0,True,***,332861
hour_cos,5,331.2682924542752,0.0,True,***,332861
hm_lag_6h_mean,2,1863.0504481530445,0.0,True,***,332747
wind_temp_interaction,10,168.0549969899885,0.0,True,***,332861
hm_lag_12h_mean,2,969.3298037689959,0.0,True,***,332633
si_lag_9h_mean,1,6532.8120195406,0.0,True,***,332690
si_lag_6h_mean,1,2441.7390010837207,0.0,True,***,332747
wind_chill,2,2575.4856599837626,0.0,True,***,332861
ta_chi_lag_3h_mean,2,1789.3554889714708,0.0,True,***,332804
wind_chill_lag_9h_mean,1,1844.52149721397,0.0,True,***,332690
ta_lag_3h_mean,2,1792.7128411945037,0.0,True,***,332804
ta_lag_6h_mean,2,4080.9350822142437,0.0,True,***,332747
ta_lag_18h_mean,2,1036.0525592218407,0.0,True,***,332519
ws_lag_18h_mean,6,335.3178088361711,0.0,True,***,332519
si,1,2577.0352023226883,0.0,True,***,332861
ws_lag_21h_mean,3,760.2197745304398,0.0,True,***,332462
wind_chill_lag_24h_mean,2,1200.141910291369,0.0,True,***,332405
ta_chi_lag_12h_mean,1,1551.044685418915,0.0,True,***,332633
hm_lag_15h_mean,8,338.26860948889856,0.0,True,***,332576
ta_lag_21h_mean,2,1808.2375098227465,0.0,True,***,332462
dayofweek_cos,10,213.81026917868974,0.0,True,***,332861
ws_lag_15h_mean,9,311.72005906877325,0.0,True,***,332576
HDD_20,2,5018.8197678360575,0.0,True,***,332861
hm_fourier_sin_2,2,686.0267840780377,4.728611083481803e-298,True,***,332861
wind_chill_fourier_sin_2,2,686.0267840780377,4.728611083481803e-298,True,***,332861
ta_fourier_sin_2,2,686.0267840780377,4.728611083481803e-298,True,***,332861
ws_fourier_sin_2,2,686.0267840780377,4.728611083481803e-298,True,***,332861
ta_fourier_cos_2,2,686.0267840767729,4.728611089534963e-298,True,***,332861
ws_fourier_cos_2,2,686.0267840767729,4.728611089534963e-298,True,***,332861
wind_chill_fourier_cos_2,2,686.0267840767729,4.728611089534963e-298,True,***,332861
hm_fourier_cos_2,2,686.0267840767729,4.728611089534963e-298,True,***,332861
month_cos,2,435.49236478848627,1.3034386773108845e-189,True,***,332861
wd_lag_24h_mean,1,503.8454471412409,1.6766767216910095e-111,True,***,332405
wd_lag_18h_mean,10,54.470723901271484,1.5101316832543747e-110,True,***,332519
wd_lag_15h_mean,11,49.6606786784533,5.317337878797721e-110,True,***,332576
wd,3,169.62798008867279,6.877202978314023e-110,True,***,332861
ta_diff_24h,10,52.333859271956364,5.528389369065533e-106,True,***,332405
wd_lag_21h_mean,3,163.3545365631324,8.128800077441232e-106,True,***,332462
wd_lag_12h_mean,12,40.9866639204502,1.4378089569802517e-97,True,***,332633
wd_lag_3h_mean,5,73.13317709759833,8.176115488730549e-77,True,***,332804
month_sin,2,150.29506701850366,5.716585572660275e-66,True,***,332861
rn_day,8,38.8965239026883,1.8464748741927232e-62,True,***,332861
dayofweek,11,26.26645684962733,1.9893236727259406e-55,True,***,332861
wd_lag_6h_mean,11,22.29171340767924,2.9329353400344927e-46,True,***,332747
wd_lag_9h_mean,10,21.62751466684233,6.645272097722908e-41,True,***,332690
daily_temp_range,11,17.16717201318861,1.565305546771097e-34,True,***,332861
dayofweek_sin,11,11.788409716905065,2.0500885677771184e-22,True,***,332861
day_of_year,2,37.59195006919647,4.7409685112417416e-17,True,***,332861
month,2,36.75950932750748,1.0897095418816081e-16,True,***,332861
daily_temp_range_diff,10,7.997254047315026,5.102964786689923e-13,True,***,332424
rn_hr1_lag_21h_mean,1,19.428526369611724,1.0446808737295692e-05,True,***,332462
rn_hr1_lag_18h_mean,3,8.202313363671596,1.866393442912888e-05,True,***,332519
month_day_interaction,3,7.309665441716204,6.751046795399257e-05,True,***,332861
rn_hr1_lag_12h_mean,10,2.882743711757009,0.0013291967587575357,True,**,332633
rn_hr1_lag_15h_mean,2,5.803803460671049,0.0030163669194498972,True,**,332576
rn_hr1_lag_24h_mean,1,7.878863002006806,0.005001882638592722,True,**,332405
rn_hr1_lag_9h_mean,12,2.3027319788117944,0.0062597682486516424,True,**,332690
rn_hr1,2,5.057140152046196,0.0063642217876455015,True,**,332861
rn_hr1_lag_3h_mean,10,2.0778718844746105,0.022693500878195313,True,*,332804
rn_hr1_lag_6h_mean,10,1.589067392613522,0.10281058807358816,False,,332747
hm_fourier_cos_3,2,1.101213748278827,0.3324685184641526,False,,332861
ws_fourier_cos_3,2,1.101213748278827,0.3324685184641526,False,,332861
wind_chill_fourier_cos_3,2,1.101213748278827,0.3324685184641526,False,,332861
ta_fourier_cos_3,2,1.101213748278827,0.3324685184641526,False,,332861
hm_fourier_sin_3,2,1.1012137464865492,0.3324685190594679,False,,332861
wind_chill_fourier_sin_3,2,1.1012137464865492,0.3324685190594679,False,,332861
ta_fourier_sin_3,2,1.1012137464865492,0.3324685190594679,False,,332861
