feature,best_lag,f_statistic,p_value,is_significant,significance_level,data_points,branch_id,data_length
HDD_20,2,957.1581594772294,0.0,True,***,17519,A,17519
HDD_18,2,1014.4622988792337,0.0,True,***,17519,A,17519
wind_chill_lag_21h_mean,3,473.23289465528177,1.128972571443011e-295,True,***,17498,A,17519
ta_chi_lag_21h_mean,3,470.2477510928282,7.087155742429535e-294,True,***,17498,A,17519
wind_chill,3,445.4492889703033,6.3957388405251735e-279,True,***,17519,A,17519
ta_lag_12h_mean,3,427.7668968274894,3.3219305271338105e-268,True,***,17507,A,17519
wind_chill_lag_6h_mean,3,427.5445518700808,4.49838439474437e-268,True,***,17513,A,17519
ta_lag_21h_mean,3,425.44744188473516,8.570785046080826e-267,True,***,17498,A,17519
wind_chill_lag_9h_mean,3,424.21908176057445,4.699135033915078e-266,True,***,17510,A,17519
ta_chi,2,626.3195382402031,1.9093582266321124e-263,True,***,17519,A,17519
ta_chi_lag_6h_mean,2,619.6275122238249,9.934174883551119e-261,True,***,17513,A,17519
wind_chill_lag_12h_mean,3,412.77172670143653,4.22736227925071e-259,True,***,17507,A,17519
ta_chi_lag_24h_mean,3,404.46731721579215,4.8229352613894284e-254,True,***,17495,A,17519
ta,2,601.8368348329656,1.6472912647926395e-253,True,***,17519,A,17519
ta_chi_lag_12h_mean,3,402.16607458121194,1.198381585213191e-252,True,***,17507,A,17519
DCI,2,592.258864695335,1.2909226066138883e-249,True,***,17519,A,17519
ta_lag_6h_mean,2,586.9078295201382,1.9538931052593434e-247,True,***,17513,A,17519
ta_chi_lag_9h_mean,3,388.72437346121905,1.8657232890169044e-244,True,***,17510,A,17519
si_lag_3h_mean,4,290.781815682668,1.6047375102469594e-242,True,***,17516,A,17519
wind_chill_lag_18h_mean,2,573.0110251443374,9.042751155545788e-242,True,***,17501,A,17519
ta_lag_9h_mean,3,380.3379098710609,2.4651260304691396e-239,True,***,17510,A,17519
ta_lag_24h_mean,3,376.4050590233983,6.337502066964836e-237,True,***,17495,A,17519
si_lag_6h_mean,3,374.7084894643345,6.790441248370949e-236,True,***,17513,A,17519
ta_chi_lag_3h_mean,4,279.615785683217,1.9711071625657854e-233,True,***,17516,A,17519
ta_diff_6h,4,273.7035359419948,1.3095075661344952e-228,True,***,17513,A,17519
ta_lag_3h_mean,4,272.7618841820464,7.66247020817547e-228,True,***,17516,A,17519
ta_chi_lag_18h_mean,3,359.4941577921172,1.4208689573175854e-226,True,***,17501,A,17519
wind_chill_lag_3h_mean,4,270.3920114758865,6.59117538724106e-226,True,***,17516,A,17519
wind_chill_lag_24h_mean,4,262.17814298235487,3.4604082318018526e-219,True,***,17495,A,17519
ta_lag_18h_mean,2,517.6795534032607,3.76919553282647e-219,True,***,17501,A,17519
ta_chi_lag_15h_mean,3,344.0337464663242,4.375297468911666e-217,True,***,17504,A,17519
wind_chill_lag_15h_mean,3,339.4913371375641,2.713786800705554e-214,True,***,17504,A,17519
ta_lag_15h_mean,3,337.20334879144394,6.93334464314945e-213,True,***,17504,A,17519
si,4,245.30512389334862,2.2689955376097424e-205,True,***,17519,A,17519
si_lag_24h_mean,7,140.80254859102533,8.857313116386739e-203,True,***,17495,A,17519
si_lag_21h_mean,4,226.9755646049717,2.7254236680628053e-190,True,***,17498,A,17519
hour,11,82.8387429857105,1.8355789256904125e-183,True,***,17519,A,17519
hour_squared,11,79.21515656908483,2.6083254065933587e-175,True,***,17519,A,17519
si_lag_9h_mean,3,273.2210164256291,2.53704625449364e-173,True,***,17510,A,17519
ta_lag_3h,6,127.82032926119011,6.967255479439006e-159,True,***,17516,A,17519
ta_lag_2h,6,126.28724992132386,5.5832532790047294e-157,True,***,17517,A,17519
si_lag_12h_mean,3,245.31779174114922,6.114447586556014e-156,True,***,17507,A,17519
