feature,best_lag,f_statistic,p_value,is_significant,significance_level,data_points,branch_id,heating_season,season_name,data_length,combination
hour_squared,12,60.42267069769847,2.530088597879292e-140,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hour,12,58.58679212653235,5.015207289345779e-136,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_9h_mean,4,107.71075041267552,2.513189816404682e-89,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_9h_mean,3,138.68505801009005,2.1136734792751253e-87,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_12h_mean,3,138.26145118079276,3.8510092068176394e-87,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_6h_mean,3,137.85638752930836,6.835094660533673e-87,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_9h_mean,3,135.0974871241998,3.4106845042892644e-85,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_12h_mean,3,134.43320772790975,8.749086911325155e-85,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_6h_mean,3,133.61635464201822,2.7873387499150818e-84,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_6h_mean,3,131.10319718453658,9.871587866887844e-83,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_12h_mean,4,97.25623715589406,9.083621535000061e-81,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_3h_mean,4,95.19620150536907,4.462083579476134e-79,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_24h_mean,7,54.72742188119087,1.1239048928647387e-76,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_3h_mean,5,74.60260771278213,1.7747788173261425e-76,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_21h_mean,12,32.82358621023868,9.691700153083893e-75,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_3h_mean,5,71.81667806519901,1.2780430838257692e-73,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_21h_mean,11,34.195029903714406,6.061570676187476e-72,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_24h_mean,12,31.459012738586164,1.891413136755908e-71,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_24h_mean,12,31.287692812332903,4.89913565243221e-71,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_21h_mean,12,31.246644644436298,6.1540527713093835e-71,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_24h_mean,7,50.297969376085305,2.3715261119083482e-70,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_21h_mean,12,30.94517953744977,3.2856978096814156e-70,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_6h_mean,7,49.188799849019894,9.151446025820701e-69,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_squared,12,29.779616297820926,2.1410109206794272e-67,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta,11,32.030681466498294,3.854867593871319e-67,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_2h,8,42.52574042522393,4.507439594339312e-67,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_1h,10,34.629363494561176,1.0808389576323269e-66,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_3h_mean,12,29.29456160237392,3.178908465829716e-66,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_cubed,12,28.90082566781585,2.8418286901829086e-65,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_15h_mean,4,77.43262604386058,1.9941901727903244e-64,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_3h,7,45.67464894525528,9.883185311521006e-64,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi_lag_18h_mean,12,28.19551048883673,1.4396173287635846e-63,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_15h_mean,4,74.81350471240697,2.9494085155846065e-62,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_chi,8,39.34422919707618,7.04257761813549e-62,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_12h_mean,12,27.217810704968915,3.3281142412213196e-61,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_9h_mean,6,50.44350857947081,4.2583234647588396e-61,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill,11,28.86123462407718,4.2804793627195634e-60,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si,12,25.982614203672842,3.236880902224513e-58,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_18h_mean,12,25.96864960784862,3.498762204660183e-58,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
DCI,11,27.329488231504023,1.0972153596031605e-56,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_18h_mean,12,24.099425719419038,1.1685032774299663e-53,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_diff_6h,12,24.09533490203493,1.195451227087859e-53,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_lag_18h_mean,12,23.792682148576468,6.458357719873752e-53,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_lag_15h_mean,4,62.313344356565366,7.240605067954632e-52,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
HDD_20,12,23.123682659536012,2.688603613429299e-51,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
si_lag_15h_mean,12,22.972035359296424,6.260540221839096e-51,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
HDD_18,12,22.259783744702375,3.3165076713011533e-49,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
month_sin,3,72.84934445540301,2.011897436082347e-46,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
day_of_year_sin,3,69.64513765422254,2.1011079820457192e-44,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_chill_fourier_sin_2,3,69.3330728652926,3.3050845796354753e-44,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_fourier_sin_2,3,69.3330728652926,3.3050845796354753e-44,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ws_fourier_sin_2,3,69.3330728652926,3.3050845796354753e-44,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_fourier_sin_2,3,69.3330728652926,3.3050845796354753e-44,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_ta_interaction,3,64.36682754322663,4.4950953431704926e-41,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_humidity_interaction,3,64.36682754322663,4.4950953431704926e-41,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hour_cos,12,18.433652355944556,5.95097503613614e-40,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hour_sin,12,18.433652355944368,5.9509750361432435e-40,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
day_of_year,3,60.18888698764078,1.9622505670130793e-38,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_3h_mean,12,16.49449543080566,2.8530251276051357e-35,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
month,3,54.78923148809052,5.126121056557498e-35,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_24h_mean,12,16.062879992111522,3.1278003851587863e-34,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_21h_mean,12,15.3251164963538,1.8662133822105047e-32,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_6h_mean,11,15.898307474871531,2.943775423930612e-31,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_12h_mean,12,14.747638817040716,4.5606768088315475e-31,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_9h_mean,7,21.329755985230243,1.14420873373322e-28,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_18h_mean,12,13.629121731796555,2.197696211945403e-28,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm,12,12.241087730025598,4.553675820620588e-25,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
ta_diff_12h,11,12.685744444412084,3.588258148102858e-24,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
wind_temp_interaction,12,11.274087029916709,9.07280481584511e-23,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
hm_lag_15h_mean,9,14.047115432736696,1.0428800256475687e-22,True,***,7344,A,0,비난방기 (5-9월),7344,Branch_A_Season_0
