variable,lag,f_statistic,p_value,is_significant,var_diff_order,target_diff_order
ta,1,0.7130142735356733,0.39845649238859016,False,0,1
ta,2,326.2580690393549,7.657197953992483e-140,True,0,1
ta,3,229.86506077621686,2.7771271158286405e-146,True,0,1
ta,4,166.47684638043467,3.8914561638031875e-140,True,0,1
ta,5,128.85730029209356,1.6809945144638108e-134,True,0,1
wd,1,4.036067256611817,0.04455281288806898,True,0,1
wd,2,2.3632709689226408,0.0941418980604319,False,0,1
wd,3,2.097514641880364,0.0982540282681454,False,0,1
wd,4,2.390150092864801,0.04855825039732554,True,0,1
wd,5,4.4667524816247886,0.0004548177503103702,True,0,1
ws,1,16.197296466925785,5.731546783765413e-05,True,0,1
ws,2,26.597004196319123,2.928038645061416e-12,True,0,1
ws,3,24.35325934610606,1.0162488006039923e-15,True,0,1
ws,4,29.862239764203498,8.52203696058452e-25,True,0,1
ws,5,31.17751344296465,1.037501386193219e-31,True,0,1
rn_day,1,1.2098524850481907,0.2713764570725572,False,0,1
rn_day,2,0.9441068596401047,0.3890466725640819,False,0,1
rn_day,3,0.7481544616225527,0.5232591700249289,False,0,1
rn_day,4,0.7110852244466228,0.5842149527015648,False,0,1
rn_day,5,0.8207448962172919,0.5345993532650798,False,0,1
rn_hr1,1,0.20589590733627705,0.6500089678715898,False,0,1
rn_hr1,2,0.19445402470885587,0.8232858058459003,False,0,1
rn_hr1,3,0.11757923927515722,0.9498217206072486,False,0,1
rn_hr1,4,0.3385298410319212,0.8521244852133201,False,0,1
rn_hr1,5,0.29074524828717596,0.918339989609084,False,0,1
hm,1,4.320332894078126,0.03767407730255487,True,0,1
hm,2,142.1965949178978,5.507024523491337e-62,True,0,1
hm,3,105.40355557210717,1.2527281153089945e-67,True,0,1
hm,4,76.60948814545145,1.6376452110884745e-64,True,0,1
hm,5,56.24837289271623,3.2163242420245186e-58,True,0,1
si,1,48.72471257862157,3.050846710487823e-12,True,0,1
si,2,390.4434238545162,1.2724901162964442e-166,True,0,1
si,3,299.78023296370986,8.501998096469662e-190,True,0,1
si,4,226.35883982914945,8.673074062221493e-190,True,0,1
si,5,168.0228789109344,3.9539468152702145e-175,True,0,1
ta_chi,1,1.077462661290689,0.2992802004551837,False,0,1
ta_chi,2,330.3765916148914,1.445658233496397e-141,True,0,1
ta_chi,3,244.93090158142954,1.0614833268907804e-155,True,0,1
ta_chi,4,179.88735093715337,2.615574968290889e-151,True,0,1
ta_chi,5,143.04394859884275,2.9090573794883006e-149,True,0,1
month,1,5.977610852122575,0.014498399693465414,True,1,1
month,2,3.2932132458094876,0.03715733585054899,True,1,1
month,3,2.383901263627778,0.06725399088035719,False,1,1
month,4,1.7820241612570331,0.12932447041697204,False,1,1
month,5,1.6239413723559213,0.14982360555900529,False,1,1
hour,1,0.9314505313991472,0.3344996145554193,False,0,1
hour,2,280.7068952429194,1.0092560328706968e-120,True,0,1
hour,3,194.57940721908088,3.880053479182721e-124,True,0,1
hour,4,142.44925236549793,4.8259020194410275e-120,True,0,1
hour,5,87.35552079584741,4.912630972931525e-91,True,0,1
dayofweek,1,0.12949306145643846,0.7189625690561998,False,0,1
dayofweek,2,2.3362173075689814,0.09672284306650887,False,0,1
dayofweek,3,1.4450850628510252,0.22750359362501452,False,0,1
